RESNT,RESNE,RESSE,RESST,RESMW,INDNT,INDNE,INDSE,INDST,INDMW,COMNT,COMNE,COMSE,COMST,COMMW,OTHNT,OTHNE,OTHSE,OTHST,OTHMW
345137.54,1153080.36,3811707.88,1096409.5,527020.4,989261.02,2209976.91,7592673.94,2181245.05,433597.02,205987.62,642831.96,2534542.5,702202.01,333044.66,213573.01,787942.32,1946910.2,827284.44,390610.22
355133.19,1120182.07,3828065.92,1145519.92,514691.71,969701.93,2222917.28,7722371.4,2208094.95,445602.75,215486.83,625764.58,2454776.73,709154.91,314402.2,221598.08,800658.13,1964668.96,817015.99,412990.07
369331.67,1104726.03,3768572.19,1138292.48,511993.02,998856.35,2281263.65,7736312.54,2211594.78,468523.76,218195.57,613783.3,2392105.96,697170.25,309259.43,226545.66,760387.16,2084715.83,800315.59,421864.01
372153.48,1108110.02,3774739.54,1150879.67,534088.99,1027668.14,2363385.12,8024272.93,2262835.13,485878.94,220969.11,630410.57,2497543.54,734546.27,324756.06,231152.15,837493.92,2055513.77,809699.94,440138.77
397911.68,1137729.28,3888549.52,1140225.48,563954.62,1005213.9,2309747.22,7876455.23,2185915.63,448150.369,236940.71,642212.56,2575626.79,713323.3,343910.62,246248.17,861264.01,2093634.64,802038.02,447578.79
397548.65,1189699.45,3901043.1,1130931.65,563013.11,1025941.27,2384510.83,7889940.14,2196101.03,456123.01,233801.54,670020.58,2609244.89,722952.96,345771.09,242667.95,897270.07,2053169.61,802398.86,431375.53
402093.22,1252975.55,3997650.46,1203159.64,582829.61,1003097.61,2302683.54,8027414.31,2196501.28,460141.49,231299.7,696129.85,2703651.23,782297.68,354850.9,235083.08,880942.52,1993907.48,861990.66,362421.55
380070.6,1218118.2,4016722.91,1195034.21,556938.88,1017455.11,2303704.5,7857892.2,2135109.54,452401.92,228112.67,708719.83,2842322.46,820171.44,353014.75,238731.56,892166.98,1972710.6,924560.08,380020.59
377018,1259580,4183534,1327669,562552,1001672,2346146,7828726,1973574,442003,220446,708971,2789730,874357,348076,234572,870131,1897880,1027829,425238
364503,1208193,4000465,1269714,550066,939507,2151323,7966169,2179652,446983,215023,687911,2786112,877843,357054,233953,835725,1862613,1024728,367132
352883,1194430,4219240,1275474,552290,1021864,2336520,8156928,2279174,482012,212495,678862,2939192,901913,367008,233295,775635,1973182,967498,393005
371967,1244458,4223592,1291818,596991,993228,2332459,8415087,2276808,493541,223502,709879,3043236,912558,398166,244170,831151,2079457,923475,425201
371605,1218867,4104316,1243434,553266,1044904,2378276,8352175,2278877,503524,227031,694475,2764729,822368,355515,245887,841124,2069308,875162,438074
381288,1205705,3887323,1193009,536836,1028834,2350757,8376953,2348131,477637,235693,680629,2581799,752167,336852,253503,842490,2044414,821300,431440
374013,1177362,3813598,1172657,533647,1057886,2464630,8223929,2334740,488018,229867,656287,2522240,742666,335828,251026,833607,2029775,806835,451688
392888,1185584,3979163,1249110,537771,1073292,2497613,8409270,2364694,515134,234881,672509,2513753,761564,337518,249647,857246,2068546,819277,461673
408304,1164758,4058552,1238276,579422,1047069,2444460,8606355,2296248,472146,247138,655473,2738950,788053,357569,262096,883333,2181653,835264,470617
409738,1226991,4053969,1216932,604146,1089167,2545273,8466749,2378625,472265,246043,704745,2748375,798207,384442,261577,963985,2219557,846630,498319
422501,1286044,4229638,1238824,591274,1060552,2485964,8655071,2362177,461380,249274,738916,2904284,832584,380583,263255,991791,2194272,861325,444782
405279,1305312,4116989,1218277,572267,1079234,2544495,8518635,2307713,442546,245754,757671,2916529,863827,377881,260750,939302,2069159,943346,419960
396323,1360681.7,4412691,1380788,583757,1018836,2450368.41,7733400,2119140,471604,230613,755505.85,2955693,917398,368312,244548,938833.31,2055849,1073752,387853
380864,1332020,4340742,1324724,580367,994743,2345793.44,7795758,2365869,464457,223092,733385.48,2937432,908819,387276,237597,873570.73,2014795,1090135,399501
374421,1306497.9,4179036,1276707,556939,1056570,2463790.99,8217728,2447493,468976,225883,750417.14,2924592,940638,400726,243632,845199.83,1972575,1058996,407897
386480,1299819.1,4225451,1264139,578792,1028025,2431139.65,8124682,2445728,495474,228057,729704.06,2918220,921767,408354,246337,805958.48,2016561,972710,425258
399647,1316167.7,4386332,1255075,576659,1045144,2555968.05,8244852,2395505,549954,235734,731480.8,2896774,833209,393319,252509,833290.84,2049304,898549,450490
399430,1246959.4,4153532,1252972,568337,1076699,2460915.02,8273796,2447151,521959,240994,701720.2,2695492,809086,381899,263820,831440.17,2057625,859072,500089
405359,1256700.2,4186405,1258858,546183,1088127,2520052.38,8470316,2519353,556421,244538,697763.74,2685032,795902,367343,260522,859673.71,2110243,844914,476646
434435,1266490.6,4292183,1296088,591435,1104095,2544382.96,8715979,2513341,533992,257333,701447.67,2791889,839748,393645,270944,887909.4,2183841,871006,523344
455038,1275642.9,4208021,1258612,618394,1097599,2523542.2,8557011,2462391,539531,272428,727886.98,2844662,839605,419838,287422,934641.61,2259323,852141,530357
453242,1358839.8,4413750,1268536,625417,1141517,2542113.34,8623648,2511561,567346,272712,779849.14,2955147,835353,417652,283711,1004242.1,2239442,866012,513687
452781,1361440.1,4456627,1306813,660058,1082316,2431768.09,8358730,2360372,539862,267746,783882.59,3108391,894521,446955,278901,1008457.73,2240363,879379,490803
431406,1398059.4,4222422,1280988,609814,1059609,2332714.88,7399288,2137241,488320,263904,815130.72,2971975,917164,417864,277399,989934.49,2066164,1030638,449243
437714,1447974,4648272,1419724,650865,1037755,2188819,6430384,1817769,449192.6,249229,775561,2989284,940797,412876,257215,927977,2056408,1101182,427664.2
400108,1369074,4425160,1354039,601070,913234,2100025,6748877,2083857,491349.7,237819,762097,3049301,973068,420232,253001,867489,1967195,1054176,423971.01
393057,1413760,4666872,1397087,618907,994988,2315996,6940310,2269584,528604.5,236283,780341,3230457,1014927,436319,258162,880906,2093926,1061014,446249.01
413043,1455395,4574496,1388854,640315,1003787,2197203,7200761,2258660,539185.3,241730,797078,3167307,1016634,462811,260467,858171,2084966,1007408,474521.5
406935,1389283,4466390,1299824,625858,1008672,2226386,7042743,2157697,540882.6,245073,749042,2929088,897256,427058,262879,825095,2061930,911663,471698.3
411397,1340100,4263405,1299676,594716,1055170,2200537,7179707,2258974,522402.5,255387,740745,2782927,845908,406469,271869,841114,2104080,856485,484101.45
429684,1353994,4390194,1338723,592316,1059580,2289010,7391798,2306998,563387,261549,738731,2758765,832818,404980,272880,875625,2115122,836506,512331.23
453741,1426344,4521489,1381261,620129,1067632,2380810,7724095,2323431,565483.1,270606,768563,2816727,847192,425996,282912,925559,2096132,840304,523799.5
475717,1438256,4516470,1336852,649506,1037046,2387863,7902183.1,2326758,573476,283421,779862,2949799,858948,431992,293350,975264,2148536,840066,511300.71
472878,1488745,4587326,1317935,658857,1078596,2449863,8013929,2408122,601240.4,283368,825015,3066268,870072,448454,300980,1016152,2190997,844821,495914.74
484073,1520234,4586570,1379266,665609,1062416,2339666,8103644.4,2363884,545593.2,288432,835007,3227613,959801,452903,297448,1010965,2141100,888865,463730.6
478521,1577336,4768804,1396936,655034,1051091,2412350,7855316.2,2387378,522509.9,291678,896312,3413601,1035231,457754,300426,1082070,2164241,919838,456767.6
460383,1577345,4934723,1576494,686131,1058953,2396403,7348949,2103829.3,516413,266606,833708,3260027,1048371.6,441939,279402.75,932490.35,2140439.3,1070011.41,427842
442546,1521047,4805332,1489158,654256,1005539,2319484,7871394,2363640,517463,258873,817319,3293548,1063736,451653,269851.75,931582,2143149,1062813,447374
466995,1671008,4841148,1488181,685415,1087391,2545879,8094400,2500191,538018,276651,907111,3408517,1091851,478299,276285.82,994963,2177851,1119762,466965
